discipline,performance,wind,competitor,date_of_birth,country,venue,gender,date,year,record_type,is_indoor,pending_ratification,mixed_gender_race,women_only_race,venue_country,venue_city,venue_country_official_name,venue_country_region,venue_country_subregion,venue_country_latitude,venue_country_longitude,comp_country_official_name,comp_country_region,comp_country_subregion,comp_country_latitude,comp_country_longitude
60 Metres Hurdles,7.60,,Ashton EATON,1988-01-21,USA,Tallinn (EST) (i),M,2011-02-06,2011,Combined Best Performances,True,False,False,False,EST,Tallinn,Republic of Estonia,Europe,Northern Europe,59.0,26.0,United States of America,Americas,North America,38.0,-97.0
3000 Metres,7:40.10,,William Malel SITONIK,1994-03-01,KEN,Lille (FRA),W,2011-07-10,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
"30,000 Metres",1:26:47.4h,,Moses MOSOP,1985-07-07,KEN,"Hayward Field, Eugene, OR (USA)",W,2011-06-03,2011,African Records,False,False,False,False,USA,"Hayward Field, Eugene, OR",United States of America,Americas,North America,38.0,-97.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
"25,000 Metres",1:12:25.4h,,Moses MOSOP,1985-07-07,KEN,"Hayward Field, Eugene, OR (USA)",W,2011-06-03,2011,African Records,False,False,False,False,USA,"Hayward Field, Eugene, OR",United States of America,Americas,North America,38.0,-97.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
Shot Put,21.24,,Valerie ADAMS,1984-10-06,NZL,"DS, Daegu (KOR)",W,2011-08-29,2011,Oceanian Records,False,False,False,False,KOR,"DS, Daegu",Republic of Korea,Asia,Eastern Asia,37.0,127.5,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
"10,000 Metres Race Walk",40:51.31,,Pavel PARSHIN,1994-01-02,RUS,Lille (FRA),M,2011-07-09,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Russian Federation,Europe,Eastern Europe,60.0,100.0
Shot Put (5kg),24.45,,Jacko GILL,1994-12-20,NZL,Auckland (NZL),W,2011-12-19,2011,U18 World Best Performances,False,False,False,False,NZL,Auckland,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
1500 Metres,4:09.48,,Faith KIPYEGON,1994-01-10,KEN,Lille (FRA),W,2011-07-09,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Republic of Kenya,Africa,Eastern Africa,1.0,38.0
Octathlon Boys,6491,,Jake STEIN,1994-01-17,AUS,Lille (FRA),M,2011-07-07,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
800 Metres,1:43.37,,Mohammed AMAN,1994-01-10,ETH,"Stadio Guidobaldi, Rieti (ITA)",W,2011-09-10,2011,U18 World Best Performances,False,False,False,False,ITA,"Stadio Guidobaldi, Rieti",Italian Republic,Europe,Southern Europe,42.83333333,12.83333333,Federal Democratic Republic of Ethiopia,Africa,Eastern Africa,8.0,38.0
Sprint Medley 1000m,2:03.42,,Jamaica U18,,JAM,Lille (FRA),W,2011-07-10,2011,World U18 Championships Records,False,False,False,False,FRA,Lille,French Republic,Europe,Western Europe,46.0,2.0,Jamaica,Americas,Caribbean,18.25,-77.5
